id,name,country,state,city,location,zip_code,website,phone,status,approved_by,user_id,logo_url
6321,Washington Energy Services,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6322,Washington Hospital Center,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6323,Washington Mutual Inc,United States,Washington,Seattle,1201 3rd Avenue,98101,www.wamu.com,NULL,approved,admin-krupa,admin-krupa,NULL
6324,Washington School Employees Credit Union,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6325,Waste Connections,United States,California,Folsom,35 Iron Point Circle #200,95630,www.wasteconnections.com,NULL,approved,admin-krupa,admin-krupa,NULL
6326,Waste Industries USA,United States,Alabama,Addison,NULL,NULL,www.waste-ind.com,NULL,approved,admin-krupa,admin-krupa,NULL
6327,Waste Management Inc,United States,Texas,Houston ,Suite 4000 1001 Fannin Street,77002,www.wm.com,NULL,approved,admin-krupa,admin-krupa,waste management.png
6328,Watchmark,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6329,Waterman Broadcasting,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6330,Waters Corporation,United States,Massachusetts,Milford,34 Maple Street,1757,www.waters.com,,approved,admin-krupa,admin-krupa,NULL
6331,Watkins Manufacturing Corporation,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6332,Watkins Motor Lines,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6333,Watlow Electric Manufacturing Company,United States,Missouri,Ranch Camp,12001 Lackland Road,63146,www.watlow.com,NULL,approved,admin-krupa,admin-krupa,watlow.jpg
6334,Watson Pharmaceutical Inc,United States,California,Corona,311 Bonnie Circle,92880,www.watsonpharm.com,9514935300,approved,admin-krupa,admin-krupa,NULL
6335,Wausau Hospital,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6336,Wausau Insurance,United States,Alabama,Addison,2000 Westwood Drive,54401,www.wausau.com,NULL,approved,admin-krupa,admin-krupa,NULL
6337,Wave 3 Software,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6338,Wave Systems,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6339,Wave Technologies International,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6340,Wavebend Solutions LLC,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6341,Wavecrest Lab LLC,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6342,Wavefly Corporation,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6343,Waveline Direct Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6344,Wayne Dalton Corporation,United States,Ohio,Wheeler Army Airfield,One Door Drive    P.O. Box 67 ,44660,www.wayne-dalton.com,NULL,approved,admin-krupa,admin-krupa,NULL
6345,Wayside Youth & Family Support Network,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6346,WCI Communities,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6347,WCI Consulting,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6348,Wear Guard Crest,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6349,Web Design Group Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6350,Webcritical Technologies Inc,United States,Virginia,Reston,1889 Preston White Drive Suite 100,20191,www.webcritical.com,7034767891,approved,admin-krupa,admin-krupa,NULL
6351,Webloyalty Inc,United States,Connecticut,Norwalk,"101 Merritt 7, Fourth Floor",6851,www.Webloyalty.com,2038463300,approved,admin-krupa,admin-krupa,NULL
6352,Webmd Corporation,United States,New Jersey,Elmwood Park,Center 2 669 River Drive,7407,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6353,Websidestory,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6354,Websourced Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6355,Webster Industries,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6356,Webster Rogers & Co LLP,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6357,Webtone Technologies Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6358,Webvision,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6359,Wegmans Food Market,United States,New York,Rochester,1500 Brooks Avenue,30844,www.wegmans.com,8009346267,approved,admin-krupa,admin-krupa,Wegmans Food Market.png
6360,Weichert Realtors,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6361,Weisberg Associates,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6362,Wellpoint Health Networks Inc,United States,California,Thousand Oaks,One WellPoint Way,91362,www.wellpoint.com,NULL,approved,admin-krupa,admin-krupa,Wellpoint Health Networks Inc.svg
6363,Wells Capital Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6364,Wells Fargo & Company,United States,California,San Francisco,420 Montgomery St,94163,www.wellsfargo.com,NULL,approved,admin-krupa,admin-krupa,Wells Fargo & Company.png
6365,Wendys International Inc,United States,Ohio,Dublin,Post Office Box 256,43017,www.wendys.com,NULL,approved,admin-krupa,admin-krupa,Wendys International Inc.svg
6366,Wendys Restaurants Cedar Enterprises Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6367,Wentworth Laboratories,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6368,Werner Company,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6369,WESCO International Inc,United States,Pennsylvania,Pittsburgh,225 West Station Square Drive Suite 700,NULL,www.wescodist.com,4124542200,approved,admin-krupa,admin-krupa,wesco_logo.svg
6370,West Anaheim Medical Center,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6371,West Corporation,United States,Nebraska,Omaha ,11808 Miracle Hills Drive,68154,www.west.com,,approved,admin-krupa,admin-krupa,NULL
6372,West Farm Foods,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6373,West Valley Staffing Group,United States,California,Sunnyvale,390 Potrero Avenue,94085,www.westvalley.com,NULL,approved,admin-krupa,admin-krupa,NULL
6374,Westaff,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6375,Westamerica BanCorp,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6376,The College of Westchester,United States,New York,White Plains,325 Central Park Avenue,10606,www.cw.edu,NULL,approved,admin-krupa,admin-krupa,NULL
6377,Westcon Group,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6378,Westcorp,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6379,Western Digital Corporation,United States,California,Lake Forest,20511 Lake Forest Drive,92630,www.wdc.com,NULL,approved,admin-krupa,admin-krupa,NULL
6380,Western Michigan University,United States,Michigan ,Kalamazoo,1903 West Michigan Avenue,49008,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6381,Western National Group,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6382,Western Peterbilt Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6383,Western Southern Life,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6384,Westinghouse Electric Company,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,Westinghouse Electric Company.png
6385,Westinghouse Waste Isolation Division,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6386,Weston & Sampson,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6387,Weyerhaeuser Company,United States,Washington,Federal Way,P.O. Box 9777,98063,www.weyerhaeuser.com,2539242345,approved,admin-krupa,admin-krupa,Weyerhaeuser Company.png
6388,Wheelhouse Corporation,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6389,Wherehouse Music,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6390,Whirlpool Corporation,United States,Michigan ,Benton Harbor,2000 N M-63,49022,www.whirlpool.com,6169265000,approved,admin-krupa,admin-krupa,Whirlpool Corporation.png
6391,White & Company Insurance Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6392,White Castle,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6393,White Lodging Services Corporation,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6394,White Rodgers,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6395,Whitlock Ebusiness Solutions,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6396,Whitridge Associates,United States,Massachusetts,Quincy,744 E. Squantum Street,2171,www.whitridge.com,6174722292,approved,admin-krupa,admin-krupa,NULL
6397,WHL Architects Planners Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6398,Widcomm,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6399,Wide Open West LLC,United States,Illinois,Naperville ,1674 Frontenac Rd,60563,www.wowway.com,6305363100,approved,admin-krupa,admin-krupa,NULL
6400,Widen Enterprises Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6401,Widepoint,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6402,Wilcox Associates,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6403,Wild Card Systems,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6404,Wild Oats Markets,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6405,Wild Tangent,United States,Washington,Redmond,"18578 NE 67th Court, Bldg. 5",98052,www.wildtangent.com,4254974500,approved,admin-krupa,admin-krupa,NULL
6406,Wildfire Communications,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6407,William B Meyer Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6408,William Evans & Associates,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6409,William Munn Associates,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6410,Williams Energy,United States,Oklahoma,Tulsa ,One Williams Center,74172,www.Williams.com,,approved,admin-krupa,admin-krupa,Williams Energy.png
6411,Williams Scotsman,United States,Maryland,Baltimore,8211 Town Center Drive,21236,www.willscot.com,NULL,approved,admin-krupa,admin-krupa,NULL
6412,Williams Roberts Young,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6413,Williams Sonoma Inc,United States,California,San Francisco,3250 Van Ness Avenue,94109,NULL,NULL,approved,admin-krupa,admin-krupa,Williams Sonoma Inc.png
6414,Willis Corporation,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6415,Willow Solutions,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6416,Willstaff,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6417,The Wilmark Group,United States,Massachusetts,Wellesley,20 William Street,2481,www.wilmark.com,7812355060,approved,admin-krupa,admin-krupa,NULL
6418,Wilmington Finance Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6419,Wilsonmiller Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6420,Wilsons Leather,United States,Alabama,Addison,NULL,NULL,www.wilsonsleather.com,NULL,approved,admin-krupa,admin-krupa,NULL
6421,Wiltel Communications,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6422,Wind River Systems Inc,United States,California,Alameda,500 Wind River Way,94501,www.windriver.com,5107484100,approved,admin-krupa,admin-krupa,NULL
6423,Windermere Information Technology Systems,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6424,Windham Brannon PC,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6425,Windwalker Corporation,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6426,Wingcast,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6427,Wingspan Technology Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6428,Wink Communications,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6429,Winn Dixie Stores Inc,United States,Florida,Jacksonville ,Post Office Box B,32203,www.WinnDixie.com,NULL,approved,admin-krupa,admin-krupa,NULL
6430,Winners Apparel Ltd,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6431,Winners Edge,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6432,Winona Memorial Hospital,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6433,Winston Staffing Services,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6434,Wintress Engineering Corporation,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6435,Wired Business,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6436,Wired Empire,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6437,Wirsbo,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6438,Wisconsin Energy Corporation,United States,Alabama,Addison,231 W. Michigan Street,53203,www.wisconsinenergy.com,4142212345,approved,admin-krupa,admin-krupa,NULL
6439,Witness Systems Inc,United States,New York,Melville,330 South Service Road,11747,www.verint.com,,approved,admin-krupa,admin-krupa,NULL
6440,WMG Warner Music Group,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,Warner Brothers Entertainment Inc.png
6441,WMS Gaming Inc,United States,Illinois,Chicago ,3401 N California Avenue,60618,www.wms.com,7735096910,approved,admin-krupa,admin-krupa,NULL
6442,WNA Comet East Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6443,Wolf & Company PC,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6444,Wolinski And Company,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6445,Wollborg Michelson,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6446,Wolverine Tube Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6448,Womack Machine Supply,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6449,Wood Personnel Services,United States,Tennessee,Nashville,2 International Plaza Drive,37217,www.wpscareers.com,6153990019,approved,admin-krupa,admin-krupa,NULL
6450,Woodard And Curran,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6451,Woodforest National Bank,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6452,Woodworth International Group,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6453,Woolworths,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6454,Workbrain Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6455,Workforce Strategies,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6456,Workscape Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6457,World Book Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6458,World Commerce Online,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6459,World Duty Free Americas Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6460,World Key Consulting Solutions,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6461,World Savings & Loan,United States,California,Oakland,Golden West Financial Corporation,94612,www.WorldSavings.com,5104463300,approved,admin-krupa,admin-krupa,NULL
6462,WorldTech Consultants Inc,United States,New Hampshire,Waialae-kahala,PO Box 4104,NULL,www.worldtechconsultants.com,6038936944,approved,admin-krupa,admin-krupa,NULL
6463,World Wide Technology Inc,United States,Missouri,Saint Louis ,60 Weldon Parkway,63043,www.wwt.com,3145697000,approved,admin-krupa,admin-krupa,NULL
6464,Worldinsure,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6465,Worldpages.com,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6466,Worldstreet Corporation,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6467,Worldwide Express,United States,Texas,Dallas ,2323 Victory Ave #1600,75219,home.wwex.com,,approved,admin-krupa,admin-krupa,Worldwide Express.png
6468,Worldwide Retail Exchange,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6469,Worldwinner,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6470,Worthington Industries Inc,United States,Ohio,Columbus,200 Old Wilson Bridge Road,43085,www.worthingtonindustries.com,6144383210,approved,admin-krupa,admin-krupa,NULL
6471,Wozniak Industries Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6472,Wright Line LLC,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6473,WSI Personnel Services Inc,United States,Colorado,Denver,3400 E. Bayaud Ave,80209,www.wsijobs.com,3033228300,approved,admin-krupa,admin-krupa,NULL
6474,Arena Resources Inc,United States,Oklahoma,Tulsa ,6555 South Lewis,74136,www.arenaresourcesinc.com,9187476060,approved,admin-krupa,admin-krupa,NULL
6475,Wyeth Pharmaceuticals,United States,New Jersey,Madison,Five Giralda Farms,7940,www.wyeth.com,NULL,approved,admin-krupa,admin-krupa,NULL
6476,Wyle Laboratories,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6477,Wynedge Software,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6478,Wysdom Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6479,Xantrex Technology Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6480,Xavier Associates,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6481,Xcel Energy Inc,United States,Minnesota,Minneapolis ,800 Nicollet Mall,55402,www.xcelenergy.com,NULL,approved,admin-krupa,admin-krupa,Xcel Energy Inc.png
6482,Xcelerate,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6483,Xchange21 Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6484,Xelus,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6485,Xerox Corporation,United States,Connecticut,Stamford,800 Long Ridge Road,6904,www.xerox.com,NULL,approved,admin-krupa,admin-krupa,Xerox Corporation.png
6486,Xeryis Inc,United States,Pennsylvania,Bensalem,1438 Lonely Cottage Rd,18972,www.Xeryis.com,6109825012,approved,admin-krupa,admin-krupa,NULL
6487,Xiran,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6488,Xircom,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6489,XO Communications Inc,United States,Virginia,Reston,11111 Sunset Hills Road,20190,www.xo.com,7035472000,approved,admin-krupa,admin-krupa,NULL
6490,Xpress Global Systems Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6491,Xtivia Technologies Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6492,Xtreme Consulting,United States,Washington,Kirkland,3500 Carillon Point,98033,www.xtremeconsulting.com,,approved,admin-krupa,admin-krupa,NULL
6493,Xyan,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6494,Y Y Software,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6495,Yale New Haven Health,United States,Connecticut,New Haven,20 York Street,6510,www.ynhh.org,,approved,admin-krupa,admin-krupa,Yale New.png
6496,Yale University,United States,Connecticut,New Haven,265 Church Street,6511,www.yale.edu,NULL,approved,admin-krupa,admin-krupa,NULL
6497,Yamanouchi Pharma Technologies,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6498,Yankee Candle Company,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6499,Yellow Book USA,United States,New York,Watertown,398 Reckson Plaza,11556,www.yellowbook.com,5167301900,approved,admin-krupa,admin-krupa,NULL
6500,Yellow Corporation,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6501,Yesmail.com,United States,Nebraska,Omaha ,5711 South 86th Circle,68127,www.Yesmail.com,NULL,approved,admin-krupa,admin-krupa,NULL
6502,Yestrader,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6503,YMCA of Metropolitan Chicago,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6504,York International Corporation,United States,Pennsylvania,York ,Post Office Box 1592-364B,17405,www.york.com,NULL,approved,admin-krupa,admin-krupa,NULL
6505,York Telecom Corporation,United States,New Jersey,Eatontown,81 Corbett Way,7724,www.yorktel.com,7324136000,approved,admin-krupa,admin-krupa,NULL
6506,Yormak & Associates,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6507,Yosemite Systems Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6508,Yum! Brands Inc,United States,Kentucky,Louisville,1441 Gardiner Lane,40213,www.yum.com,NULL,approved,admin-krupa,admin-krupa,Yum! Brands Inc.png
6509,Z Tech Corporation,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6510,Zaconta Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6511,Zale Corporation,United States,Texas,Irving ,901 West Walnut Hill Lane,75038,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6512,Zamba,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6513,Zambeel.com,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6514,Zandiant Technologies Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6515,Zayed University,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6516,ZC Sterling Corporation,United States,California,Irvine,9800 Muirlands Blvd,92618,www.zcsterling.com,9492066200,approved,admin-krupa,admin-krupa,NULL
6517,Zcorum,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6518,Zeevo Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6519,Zen Systems Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6520,Zenacomp Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6521,Zenetex LLC,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6522,Zenith Electronics Corporation,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6523,Zensar Technologies Ltd,United States,Illinois,Chicago ,One North LaSalle,60602,www.zensar.com,3125530600,approved,admin-krupa,admin-krupa,NULL
6524,Zerone Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6525,Zeta,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6526,Zetari,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6527,Zetron Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
6528,Zimmer Biomet,United States,Indiana,Warsaw,345 East Main Street,46580,www.zimmerbiomet.com,,approved,admin-krupa,admin-krupa,NULL
6529,Zinncorp Inc,United States,Minnesota,Minneapolis ,1001 Marquette Ave. South #219,55403,www.zinncorp.com,6123388779,approved,admin-krupa,admin-krupa,NULL
6530,Zions Bank,United States,Utah,Salt Lake City ,One South Main,84111,www.zionsbank.com,8015244787,approved,admin-krupa,admin-krupa,Zions Bank.jpg
6531,Zoran Corporation,United States,California,Sunnyvale,1390 Kifer Road,94086,www.zoran.com,4085236500,approved,admin-krupa,admin-krupa,NULL
